id,state,city,status,date_completed,url
60,Alabama,Leeds,completed,2022-03-09 18:06:00,https://www.city-data.com/city/Leeds-Alabama.html
61,Alabama,Eufaula,completed,2022-03-09 18:06:08,https://www.city-data.com/city/Eufaula-Alabama.html
62,Alabama,Saks,completed,2022-03-09 18:06:16,https://www.city-data.com/city/Saks-Alabama.html
63,Alabama,Fairfield,completed,2022-03-09 18:06:24,https://www.city-data.com/city/Fairfield-Alabama.html
64,Alabama,Pike Road,completed,2022-03-09 18:06:31,https://www.city-data.com/city/Pike-Road-Alabama.html
65,Alabama,Clay,completed,2022-03-09 18:06:38,https://www.city-data.com/city/Clay-Alabama.html
66,Alabama,Robertsdale,completed,2022-03-09 18:06:46,https://www.city-data.com/city/Robertsdale-Alabama.html
67,Alabama,Russellville,completed,2022-03-09 18:06:53,https://www.city-data.com/city/Russellville-Alabama.html
68,Alabama,Boaz,completed,2022-03-09 18:07:01,https://www.city-data.com/city/Boaz-Alabama.html
69,Alabama,Rainbow City,completed,2022-03-09 18:07:08,https://www.city-data.com/city/Rainbow-City-Alabama.html
70,Alabama,Pleasant Grove,completed,2022-03-09 18:07:15,https://www.city-data.com/city/Pleasant-Grove-Alabama.html
71,Alabama,Meadowbrook,completed,2022-03-09 18:07:22,https://www.city-data.com/city/Meadowbrook-Alabama.html
72,Alabama,Bay Minette,completed,2022-03-09 18:07:29,https://www.city-data.com/city/Bay-Minette-Alabama.html
73,Alabama,Fultondale,completed,2022-03-09 18:07:36,https://www.city-data.com/city/Fultondale-Alabama.html
74,Alabama,Spanish Fort,completed,2022-03-09 18:07:44,https://www.city-data.com/city/Spanish-Fort-Alabama.html
75,Alabama,Atmore,completed,2022-03-09 18:07:51,https://www.city-data.com/city/Atmore-Alabama.html
76,Alabama,Forestdale,completed,2022-03-09 18:07:58,https://www.city-data.com/city/Forestdale-Alabama.html
77,Alabama,Southside,completed,2022-03-09 18:08:06,https://www.city-data.com/city/Southside-Alabama.html
78,Alabama,Sheffield,completed,2022-03-09 18:08:14,https://www.city-data.com/city/Sheffield-Alabama.html
79,Alabama,Clanton,completed,2022-03-09 18:08:22,https://www.city-data.com/city/Clanton-Alabama.html
80,Alabama,Andalusia,completed,2022-03-09 18:08:29,https://www.city-data.com/city/Andalusia-Alabama.html
81,Alabama,Guntersville,completed,2022-03-09 18:08:37,https://www.city-data.com/city/Guntersville-Alabama.html
82,Alabama,Wetumpka,completed,2022-03-09 18:08:45,https://www.city-data.com/city/Wetumpka-Alabama.html
83,Alabama,Tuscumbia,completed,2022-03-09 18:08:52,https://www.city-data.com/city/Tuscumbia-Alabama.html
84,Alabama,Arab,completed,2022-03-09 18:08:59,https://www.city-data.com/city/Arab-Alabama.html
85,Alabama,Tuskegee,completed,2022-03-09 18:09:06,https://www.city-data.com/city/Tuskegee-Alabama.html
86,Alabama,Greenville,completed,2022-03-09 18:09:14,https://www.city-data.com/city/Greenville-Alabama.html
87,Alabama,Brook Highland,completed,2022-03-09 18:09:21,https://www.city-data.com/city/Brook-Highland-Alabama.html
88,Alabama,Pinson,completed,2022-03-09 18:09:28,https://www.city-data.com/city/Pinson-Alabama.html
89,Alabama,Meridianville,completed,2022-03-09 18:09:35,https://www.city-data.com/city/Meridianville-Alabama.html
90,Alabama,Moores Mill,completed,2022-03-09 18:09:43,https://www.city-data.com/city/Moores-Mill-Alabama.html
91,Alabama,Lincoln,completed,2022-03-09 18:09:50,https://www.city-data.com/city/Lincoln-Alabama.html
92,Alabama,Montevallo,completed,2022-03-09 18:09:57,https://www.city-data.com/city/Montevallo-Alabama.html
93,Alabama,Brewton,completed,2022-03-09 18:10:04,https://www.city-data.com/city/Brewton-Alabama.html
94,Alabama,Demopolis,completed,2022-03-09 18:10:12,https://www.city-data.com/city/Demopolis-Alabama.html
95,Alabama,Hamilton,completed,2022-03-09 18:10:19,https://www.city-data.com/city/Hamilton-Alabama.html
96,Alabama,Oneonta,completed,2022-03-09 18:10:27,https://www.city-data.com/city/Oneonta-Alabama.html
97,Alabama,Opp,completed,2022-03-09 18:10:35,https://www.city-data.com/city/Opp-Alabama.html
98,Alabama,Theodore,completed,2022-03-09 18:10:42,https://www.city-data.com/city/Theodore-Alabama.html
99,Alabama,Orange Beach,completed,2022-03-09 18:10:49,https://www.city-data.com/city/Orange-Beach-Alabama.html
