city,state_id,state_name,county_name,lat,lng,zips,status,date_completed
Indian River Estates,FL,Florida,St. Lucie,27.3564,-80.2983,34982,,
Pembroke Park,FL,Florida,Broward,25.9852,-80.1777,33023 33009,,
Lake Hallie,WI,Wisconsin,Chippewa,44.8921,-91.4199,54729 54703,,
Ellettsville,IN,Indiana,Monroe,39.2322,-86.6232,47429 47404,,
Prairie Grove,AR,Arkansas,Washington,35.9858,-94.3048,72753 72730,,
Napili-Honokowai,HI,Hawaii,Maui,20.9767,-156.6646,96761,,
Montevallo,AL,Alabama,Shelby,33.1246,-86.8476,35115,,
Mount Healthy,OH,Ohio,Hamilton,39.2338,-84.5469,45231,,
Clover Creek,WA,Washington,Pierce,47.1404,-122.3827,98445 98446,,
Allendale,NJ,New Jersey,Bergen,41.0333,-74.1333,7401,,
Rupert,ID,Idaho,Minidoka,42.6189,-113.674,83350,,
Snowflake,AZ,Arizona,Navajo,34.5225,-110.0913,85937,,
Bayville,NY,New York,Nassau,40.9076,-73.5602,11709,,
Litchfield,IL,Illinois,Montgomery,39.1959,-89.6295,62056 62015,,
Maple Glen,PA,Pennsylvania,Montgomery,40.1778,-75.1793,19044 19002,,
Eatonton,GA,Georgia,Putnam,33.3258,-83.3886,31024 31026,,
Bellwood,VA,Virginia,Chesterfield,37.406,-77.4363,23237,,
Lacy-Lakeview,TX,Texas,McLennan,31.6292,-97.1052,76705,,
Kosciusko,MS,Mississippi,Attala,33.0584,-89.5893,39090,,
Orchard Mesa,CO,Colorado,Mesa,39.0363,-108.5169,81503,,
Roaring Spring,PA,Pennsylvania,Blair,40.3348,-78.3958,16673,,
Woodfin,NC,North Carolina,Buncombe,35.6458,-82.5914,28804,,
Rumson,NJ,New Jersey,Monmouth,40.3626,-74.0046,7760,,
Broadway,VA,Virginia,Rockingham,38.6083,-78.8016,22815,,
Medina,MN,Minnesota,Hennepin,45.0326,-93.5834,55340 55356 55359,,
Harrisburg,SD,South Dakota,Lincoln,43.4321,-96.7037,57032,,
Bermuda Dunes,CA,California,Riverside,33.7434,-116.2874,92203,,
Clifton Heights,PA,Pennsylvania,Delaware,39.9301,-75.2958,19018,,
Wescosville,PA,Pennsylvania,Lehigh,40.5617,-75.5489,18106 18103 18062,,
Roeland Park,KS,Kansas,Johnson,39.0358,-94.6374,66205,,
Dayton,MN,Minnesota,Hennepin,45.1906,-93.4758,55369 55327,,
Lucas Valley-Marinwood,CA,California,Marin,38.0405,-122.5765,94903 94913,,
Cherryville,NC,North Carolina,Gaston,35.3844,-81.3781,28021,,
Belfast,ME,Maine,Waldo,44.428,-69.0325,4915,,
Nevada,IA,Iowa,Story,42.0186,-93.4635,50201,,
Dunlap,IN,Indiana,Elkhart,41.6346,-85.9235,46517 46516,,
Lauderdale-by-the-Sea,FL,Florida,Broward,26.199,-80.0972,33308 33062 33303,,
Church Hill,TN,Tennessee,Hawkins,36.5204,-82.715,37642,,
Potomac Mills,VA,Virginia,Prince William,38.6547,-77.3012,22192,,
Linwood,NJ,New Jersey,Atlantic,39.3436,-74.5708,8221,,
Ashville,OH,Ohio,Pickaway,39.7239,-82.9575,43103,,
Valley Falls,SC,South Carolina,Spartanburg,35.0073,-81.9692,29303 29316,,
Sandersville,GA,Georgia,Washington,32.9827,-82.8089,31082,,
Blairsville,PA,Pennsylvania,Indiana,40.4325,-79.2599,15717,,
Bridgeport,TX,Texas,Wise,33.21,-97.7708,76426,,
Sturtevant,WI,Wisconsin,Racine,42.6995,-87.9019,53177,,
Litchfield,MN,Minnesota,Meeker,45.1221,-94.5255,55355,,
Cherry Hills Village,CO,Colorado,Arapahoe,39.6375,-104.9481,80113 80111,,
Notre Dame,IN,Indiana,St. Joseph,41.7014,-86.2378,46556 46637,,
Pocahontas,AR,Arkansas,Randolph,36.2637,-90.9706,72455,,
Morrilton,AR,Arkansas,Conway,35.1558,-92.7387,72110,,
Barrington,NJ,New Jersey,Camden,39.8689,-75.0514,08007 08033,,
Belle Haven,VA,Virginia,Fairfax,38.7775,-77.0574,22306 22307,,
Juana Díaz,PR,Puerto Rico,Juana Díaz,18.0532,-66.5047,795,,
Tecumseh,OK,Oklahoma,Pottawatomie,35.2639,-96.9338,74801 74873,,
Mecca,CA,California,Riverside,33.5767,-116.0645,92254,,
Mira Monte,CA,California,Ventura,34.4284,-119.2853,93023 93022,,
Cedarhurst,NY,New York,Nassau,40.6252,-73.7278,11516,,
Folcroft,PA,Pennsylvania,Delaware,39.8891,-75.277,19032 19079,,
Pea Ridge,WV,West Virginia,Cabell,38.4154,-82.3188,25705 25504,,
Belmont,VA,Virginia,Loudoun,39.065,-77.4965,20147,,
Green Knoll,NJ,New Jersey,Somerset,40.6048,-74.615,8807,,
Guadalupe,AZ,Arizona,Maricopa,33.3664,-111.9633,85283,,
Veneta,OR,Oregon,Lane,44.0471,-123.3514,97487,,
North Syracuse,NY,New York,Onondaga,43.1339,-76.1306,13212 13220 13225 13251,,
Manorhaven,NY,New York,Nassau,40.8399,-73.7127,11050,,
Battlefield,MO,Missouri,Greene,37.1194,-93.3683,65619,,
Puerto Real,PR,Puerto Rico,Cabo Rojo,18.0762,-67.1861,623,,
North Caldwell,NJ,New Jersey,Essex,40.8629,-74.2576,7006,,
Beaver Dam,KY,Kentucky,Ohio,37.4042,-86.8742,42320,,
Ladera Heights,CA,California,Los Angeles,33.9972,-118.374,90008 90230 90056,,
Winthrop Harbor,IL,Illinois,Lake,42.4805,-87.8294,60096,,
Whitmore Lake,MI,Michigan,Washtenaw,42.4235,-83.7524,48189,,
Hillsboro,OH,Ohio,Highland,39.2123,-83.6112,45133,,
Brewton,AL,Alabama,Escambia,31.1111,-87.0737,36426 36427,,
Kermit,TX,Texas,Winkler,31.854,-103.0924,79745,,
Demopolis,AL,Alabama,Marengo,32.498,-87.8298,36732 36742,,
Talent,OR,Oregon,Jackson,42.2404,-122.7807,97540,,
Hamilton,AL,Alabama,Marion,34.1346,-87.9755,35570,,
Trinity,NC,North Carolina,Randolph,35.8756,-80.0093,27370 27263 27360,,
Normandy Park,WA,Washington,King,47.4343,-122.3436,98166,,
Bridge City,LA,Louisiana,Jefferson,29.9321,-90.1594,70094,,
Ambridge,PA,Pennsylvania,Beaver,40.5922,-80.2265,15003,,
Amite City,LA,Louisiana,Tangipahoa,30.7323,-90.5133,70422,,
Catasauqua,PA,Pennsylvania,Lehigh,40.6531,-75.4643,18032,,
Cocoa West,FL,Florida,Brevard,28.3595,-80.7712,32922 32926,,
Forestbrook,SC,South Carolina,Horry,33.7243,-78.9678,29588 29579,,
Bethel,AK,Alaska,Bethel,60.7928,-161.7917,99559 99545,,
Ewa Villages,HI,Hawaii,Honolulu,21.3418,-158.039,96706,,
Northgate,OH,Ohio,Hamilton,39.2531,-84.5943,45251,,
Oneonta,AL,Alabama,Blount,33.9392,-86.4929,35121,,
Mont Belvieu,TX,Texas,Chambers,29.8524,-94.8784,77523 77535 77580,,
South Monrovia Island,CA,California,Los Angeles,34.1234,-117.9958,91016 91010,,
Cold Spring,KY,Kentucky,Campbell,39.013,-84.4349,41076,,
Keene,TX,Texas,Johnson,32.3955,-97.3226,76059 76009 76031,,
Walnut Ridge,AR,Arkansas,Lawrence,36.0851,-90.9463,72476,,
Thompson's Station,TN,Tennessee,Williamson,35.809,-86.8994,37064 37179,,
Stickney,IL,Illinois,Cook,41.8183,-87.773,60402 60804,,
Green Hill,TN,Tennessee,Wilson,36.2349,-86.5733,37138,,
Rossford,OH,Ohio,Wood,41.5832,-83.5692,43551 43460,,
Blackwell,OK,Oklahoma,Kay,36.8011,-97.3008,74631,,
Contra Costa Centre,CA,California,Contra Costa,37.9261,-122.054,94597 94598,,
Lawrence,NY,New York,Nassau,40.6042,-73.7149,11559,,
Roslyn Heights,NY,New York,Nassau,40.7787,-73.6396,11577,,
South Hill,NY,New York,Tompkins,42.4113,-76.4883,14850,,
Tuckahoe,NY,New York,Westchester,40.953,-73.823,10707,,
Waikoloa Village,HI,Hawaii,Hawaii,19.9285,-155.8185,96738,,
Keyes,CA,California,Stanislaus,37.5618,-120.9088,95328 95326 95307,,
Cumming,GA,Georgia,Forsyth,34.2064,-84.1337,30040 30041,,
Portage,PA,Pennsylvania,Cambria,40.3868,-78.6746,15946,,
Fox Point,WI,Wisconsin,Milwaukee,43.1581,-87.9013,53217,,
Slippery Rock,PA,Pennsylvania,Butler,41.0695,-80.058,16057,,
Clairton,PA,Pennsylvania,Allegheny,40.2976,-79.8853,15025,,
Oakmont,PA,Pennsylvania,Allegheny,40.5201,-79.8365,15139,,
Fairview,GA,Georgia,Walker,34.9296,-85.294,30707 30741,,
Plaquemine,LA,Louisiana,Iberville,30.2834,-91.2429,70764 70765,,
Elkin,NC,North Carolina,Surry,36.2621,-80.8441,28621,,
Plattsmouth,NE,Nebraska,Cass,41.0053,-95.894,68048,,
De Queen,AR,Arkansas,Sevier,34.0426,-94.342,71832,,
Hapeville,GA,Georgia,Fulton,33.6609,-84.4093,30354,,
Laurence Harbor,NJ,New Jersey,Middlesex,40.4489,-74.2494,08879 07721 07735,,
Atlantic,IA,Iowa,Cass,41.3957,-95.0138,50022,,
Castroville,CA,California,Monterey,36.765,-121.7535,95012,,
Russells Point,OH,Ohio,Logan,40.468,-83.8939,43348,,
Martins Ferry,OH,Ohio,Belmont,40.1014,-80.7253,43935,,
West View,PA,Pennsylvania,Allegheny,40.5182,-80.0333,15229,,
Milford,MI,Michigan,Oakland,42.587,-83.6012,48381,,
Kingston,RI,Rhode Island,Washington,41.4738,-71.5236,02879 02881,,
Air Force Academy,CO,Colorado,El Paso,38.9942,-104.8639,80840 80841,,
De Soto,KS,Kansas,Johnson,38.9686,-94.9548,66018 66019,,
Avon,CO,Colorado,Eagle,39.6445,-106.5133,81620 81655,,
Heathcote,NJ,New Jersey,Middlesex,40.3908,-74.5756,08852 08540,,
Naples Manor,FL,Florida,Collier,26.0892,-81.7254,34113,,
Rittman,OH,Ohio,Wayne,40.9736,-81.7849,44270,,
Bangor Base,WA,Washington,Kitsap,47.7227,-122.7146,98315,,
Anadarko,OK,Oklahoma,Caddo,35.0652,-98.2441,73005,,
Schriever,LA,Louisiana,Terrebonne,29.7334,-90.831,70301 70395,,
Harrah,OK,Oklahoma,Oklahoma,35.4779,-97.1857,73020 73045,,
Monticello,KY,Kentucky,Wayne,36.8404,-84.8506,42633,,
Williamston,MI,Michigan,Ingham,42.6835,-84.2836,48895,,
Homeacre-Lyndora,PA,Pennsylvania,Butler,40.8721,-79.9211,16001 16045,,
Pratt,KS,Kansas,Pratt,37.6764,-98.7451,67124,,
Basehor,KS,Kansas,Leavenworth,39.1332,-94.9333,66012 66007,,
Geneseo,IL,Illinois,Henry,41.4508,-90.154,61254,,
Severance,CO,Colorado,Weld,40.527,-104.8642,80546 80550 80615 80610,,
Ocean Shores,WA,Washington,Grays Harbor,46.9685,-124.1521,98569,,
La Habra Heights,CA,California,Los Angeles,33.9602,-117.951,90631,,
Prospect Park,PA,Pennsylvania,Delaware,39.8858,-75.3074,19076,,
Ambler,PA,Pennsylvania,Montgomery,40.1564,-75.2215,19002,,
East Rochester,NY,New York,Monroe,43.112,-77.4869,14445,,
Mulvane,KS,Kansas,Sumner,37.4788,-97.2724,67110 67120,,
Camilla,GA,Georgia,Mitchell,31.2337,-84.2089,31730,,
Lynchburg,TN,Tennessee,Moore,35.2846,-86.3587,37334 37388 37359 37352,,
Hillandale,MD,Maryland,Montgomery,39.0254,-76.9751,20783 20903,,
Stratmoor,CO,Colorado,El Paso,38.7732,-104.7787,80906 80911,,
Buena Vista,VA,Virginia,Buena Vista,37.7319,-79.3569,24416,,
Prairie du Chien,WI,Wisconsin,Crawford,43.0429,-91.1373,53821,,
Silver Lake,NC,North Carolina,New Hanover,34.1408,-77.909,28412,,
Irvington,NY,New York,Westchester,41.0349,-73.8661,10503 10533,,
Prestonsburg,KY,Kentucky,Floyd,37.6816,-82.7662,41653 41602,,
Moraine,OH,Ohio,Montgomery,39.6983,-84.2459,45342 45439 45418,,
Penn Yan,NY,New York,Yates,42.6608,-77.0536,14527,,
Forest Glen,MD,Maryland,Montgomery,39.0191,-77.0445,20910 20902,,
Scenic Oaks,TX,Texas,Bexar,29.7038,-98.6713,78255 78006,,
Columbia,MS,Mississippi,Marion,31.2564,-89.8266,39429,,
Genoa,IL,Illinois,DeKalb,42.0926,-88.6964,60135,,
Otis Orchards-East Farms,WA,Washington,Spokane,47.703,-117.0854,99025 99027,,
Sidney,MT,Montana,Richland,47.7152,-104.168,59270,,
Darnestown,MD,Maryland,Montgomery,39.096,-77.3033,20878 20874,,
Hebron,KY,Kentucky,Boone,39.0626,-84.709,41048 41005 41021,,
Glendive,MT,Montana,Dawson,47.1102,-104.7069,59330,,
Yorketown,NJ,New Jersey,Monmouth,40.3064,-74.3385,7726,,
Lake Murray of Richland,SC,South Carolina,Richland,34.1209,-81.2653,29036 29063,,
Ironwood,MI,Michigan,Gogebic,46.4522,-90.1505,49938,,
Sealy,TX,Texas,Austin,29.7676,-96.1679,77474,,
Emporia,VA,Virginia,Emporia,36.6953,-77.5356,23847,,
Carrollton,VA,Virginia,Isle of Wight,36.9394,-76.5264,23314,,
Inverness Highlands South,FL,Florida,Citrus,28.8007,-82.3371,34452,,
East Falmouth,MA,Massachusetts,Barnstable,41.5707,-70.5556,2536,,
Upper Sandusky,OH,Ohio,Wyandot,40.8298,-83.2721,43351,,
Vine Grove,KY,Kentucky,Hardin,37.8133,-85.9828,40175 40160,,
Litchfield Park,AZ,Arizona,Maricopa,33.5024,-112.3586,85340,,
Devine,TX,Texas,Medina,29.1457,-98.9049,78016,,
Orange Lake,NY,New York,Orange,41.5319,-74.0936,12550,,
Oelwein,IA,Iowa,Fayette,42.6715,-91.9133,50662,,
Carthage,TX,Texas,Panola,32.1526,-94.3368,75633,,
Crystal Lake,FL,Florida,Polk,28.0371,-81.9063,33801,,
Hurricane,WV,West Virginia,Putnam,38.4293,-82.0168,25526,,
North Riverside,IL,Illinois,Cook,41.8461,-87.8263,60546,,
Cheverly,MD,Maryland,Prince George's,38.9254,-76.914,20785,,
Savage,MD,Maryland,Howard,39.1485,-76.8228,20763 20794,,
Bridgeport,MI,Michigan,Saginaw,43.3706,-83.8828,48722 48601,,
Valley City,ND,North Dakota,Barnes,46.9223,-98.0055,58072,,
Salem,IN,Indiana,Washington,38.6048,-86.0977,47167,,
