id,state,state_id,city,status,date_completed,url
61,Alabama,AL,Eufaula,completed,2022-03-10 19:48:12,http://www.usa.com/Eufaula-AL.htm
62,Alabama,AL,Saks,completed,2022-03-10 19:48:17,http://www.usa.com/Saks-AL.htm
63,Alabama,AL,Fairfield,completed,2022-03-10 19:48:22,http://www.usa.com/Fairfield-AL.htm
64,Alabama,AL,Pike Road,completed,2022-03-10 19:48:27,http://www.usa.com/Pike-Road-AL.htm
65,Alabama,AL,Clay,completed,2022-03-10 19:48:32,http://www.usa.com/Clay-AL.htm
66,Alabama,AL,Robertsdale,completed,2022-03-10 19:48:37,http://www.usa.com/Robertsdale-AL.htm
67,Alabama,AL,Russellville,completed,2022-03-10 19:48:42,http://www.usa.com/Russellville-AL.htm
68,Alabama,AL,Boaz,completed,2022-03-10 19:48:47,http://www.usa.com/Boaz-AL.htm
69,Alabama,AL,Rainbow City,completed,2022-03-10 19:48:52,http://www.usa.com/Rainbow-City-AL.htm
70,Alabama,AL,Pleasant Grove,completed,2022-03-10 19:48:57,http://www.usa.com/Pleasant-Grove-AL.htm
71,Alabama,AL,Meadowbrook,completed,2022-03-10 19:49:01,http://www.usa.com/Meadowbrook-AL.htm
72,Alabama,AL,Bay Minette,completed,2022-03-10 19:49:06,http://www.usa.com/Bay-Minette-AL.htm
73,Alabama,AL,Fultondale,completed,2022-03-10 19:49:11,http://www.usa.com/Fultondale-AL.htm
74,Alabama,AL,Spanish Fort,completed,2022-03-10 19:49:16,http://www.usa.com/Spanish-Fort-AL.htm
75,Alabama,AL,Atmore,completed,2022-03-10 19:49:21,http://www.usa.com/Atmore-AL.htm
76,Alabama,AL,Forestdale,completed,2022-03-10 19:49:26,http://www.usa.com/Forestdale-AL.htm
77,Alabama,AL,Southside,completed,2022-03-10 19:49:32,http://www.usa.com/Southside-AL.htm
78,Alabama,AL,Sheffield,completed,2022-03-10 19:49:37,http://www.usa.com/Sheffield-AL.htm
79,Alabama,AL,Clanton,completed,2022-03-10 19:49:42,http://www.usa.com/Clanton-AL.htm
80,Alabama,AL,Andalusia,completed,2022-03-10 19:49:47,http://www.usa.com/Andalusia-AL.htm
81,Alabama,AL,Guntersville,completed,2022-03-10 19:49:52,http://www.usa.com/Guntersville-AL.htm
82,Alabama,AL,Wetumpka,completed,2022-03-10 19:49:56,http://www.usa.com/Wetumpka-AL.htm
83,Alabama,AL,Tuscumbia,completed,2022-03-10 19:50:01,http://www.usa.com/Tuscumbia-AL.htm
84,Alabama,AL,Arab,completed,2022-03-10 19:50:06,http://www.usa.com/Arab-AL.htm
85,Alabama,AL,Tuskegee,completed,2022-03-10 19:50:12,http://www.usa.com/Tuskegee-AL.htm
86,Alabama,AL,Greenville,completed,2022-03-10 19:50:16,http://www.usa.com/Greenville-AL.htm
87,Alabama,AL,Brook Highland,completed,2022-03-10 19:50:21,http://www.usa.com/Brook-Highland-AL.htm
88,Alabama,AL,Pinson,completed,2022-03-10 19:50:26,http://www.usa.com/Pinson-AL.htm
89,Alabama,AL,Meridianville,completed,2022-03-10 19:50:31,http://www.usa.com/Meridianville-AL.htm
90,Alabama,AL,Moores Mill,completed,2022-03-10 19:50:36,http://www.usa.com/Moores-Mill-AL.htm
91,Alabama,AL,Lincoln,completed,2022-03-10 19:50:42,http://www.usa.com/Lincoln-AL.htm
92,Alabama,AL,Montevallo,completed,2022-03-10 19:50:47,http://www.usa.com/Montevallo-AL.htm
93,Alabama,AL,Brewton,completed,2022-03-10 19:50:52,http://www.usa.com/Brewton-AL.htm
94,Alabama,AL,Demopolis,completed,2022-03-10 19:50:57,http://www.usa.com/Demopolis-AL.htm
95,Alabama,AL,Hamilton,completed,2022-03-10 19:51:02,http://www.usa.com/Hamilton-AL.htm
96,Alabama,AL,Oneonta,completed,2022-03-10 19:51:06,http://www.usa.com/Oneonta-AL.htm
97,Alabama,AL,Opp,completed,2022-03-10 19:51:11,http://www.usa.com/Opp-AL.htm
98,Alabama,AL,Theodore,completed,2022-03-10 19:51:16,http://www.usa.com/Theodore-AL.htm
99,Alabama,AL,Orange Beach,completed,2022-03-10 19:51:21,http://www.usa.com/Orange-Beach-AL.htm
100,Alabama,AL,Grayson Valley,completed,2022-03-10 19:51:26,http://www.usa.com/Grayson-Valley-AL.htm
101,Alabama,AL,Satsuma,completed,2022-03-10 19:51:31,http://www.usa.com/Satsuma-AL.htm
102,Alabama,AL,Lanett,completed,2022-03-10 19:51:36,http://www.usa.com/Lanett-AL.htm
103,Alabama,AL,Tarrant,completed,2022-03-10 19:51:41,http://www.usa.com/Tarrant-AL.htm
104,Alabama,AL,Roanoke,completed,2022-03-10 19:51:46,http://www.usa.com/Roanoke-AL.htm
105,Alabama,AL,Harvest,completed,2022-03-10 19:51:53,http://www.usa.com/Harvest-AL.htm
106,Alabama,AL,Attalla,completed,2022-03-10 19:51:59,http://www.usa.com/Attalla-AL.htm
107,Alabama,AL,Monroeville,completed,2022-03-10 19:52:04,http://www.usa.com/Monroeville-AL.htm
108,Alabama,AL,Chickasaw,completed,2022-03-10 19:52:09,http://www.usa.com/Chickasaw-AL.htm
109,Alabama,AL,Semmes,completed,2022-03-10 19:52:14,http://www.usa.com/Semmes-AL.htm
110,Alabama,AL,Highland Lakes,completed,2022-03-10 19:52:19,http://www.usa.com/Highland-Lakes-AL.htm
111,Alabama,AL,Smiths Station,completed,2022-03-10 19:52:24,http://www.usa.com/Smiths-Station-AL.htm
112,Alabama,AL,Fort Rucker,completed,2022-03-10 19:52:29,http://www.usa.com/Fort-Rucker-AL.htm
113,Alabama,AL,Brent,completed,2022-03-10 19:52:33,http://www.usa.com/Brent-AL.htm
114,Alabama,AL,Margaret,completed,2022-03-10 19:52:38,http://www.usa.com/Margaret-AL.htm
115,Alabama,AL,Rainsville,completed,2022-03-10 19:52:44,http://www.usa.com/Rainsville-AL.htm
116,Alabama,AL,Daleville,completed,2022-03-10 19:52:49,http://www.usa.com/Daleville-AL.htm
117,Alabama,AL,Glencoe,completed,2022-03-10 19:52:54,http://www.usa.com/Glencoe-AL.htm
118,Alabama,AL,Midfield,completed,2022-03-10 19:53:00,http://www.usa.com/Midfield-AL.htm
119,Alabama,AL,Childersburg,completed,2022-03-10 19:53:04,http://www.usa.com/Childersburg-AL.htm
120,Alabama,AL,Headland,completed,2022-03-10 19:53:09,http://www.usa.com/Headland-AL.htm
121,Alabama,AL,Lake View,completed,2022-03-10 19:53:15,http://www.usa.com/Lake-View-AL.htm
122,Alabama,AL,Jackson,completed,2022-03-10 19:53:20,http://www.usa.com/Jackson-AL.htm
123,Alabama,AL,Columbiana,completed,2022-03-10 19:53:26,http://www.usa.com/Columbiana-AL.htm
124,Alabama,AL,Union Springs,completed,2022-03-10 19:53:32,http://www.usa.com/Union-Springs-AL.htm
125,Alabama,AL,Piedmont,completed,2022-03-10 19:53:36,http://www.usa.com/Piedmont-AL.htm
126,Alabama,AL,Winfield,completed,2022-03-10 19:53:41,http://www.usa.com/Winfield-AL.htm
127,Alabama,AL,Tallassee,completed,2022-03-10 19:53:46,http://www.usa.com/Tallassee-AL.htm
128,Alabama,AL,Pine Level,completed,2022-03-10 19:53:51,http://www.usa.com/Pine-Level-AL.htm
129,Alabama,AL,Holtville,completed,2022-03-10 19:53:56,http://www.usa.com/Holtville-AL.htm
130,Alabama,AL,Redland,completed,2022-03-10 19:54:01,http://www.usa.com/Redland-AL.htm
131,Alabama,AL,Mount Olive,completed,2022-03-10 19:54:06,http://www.usa.com/Mount-Olive-AL.htm
132,Alabama,AL,Argo,completed,2022-03-10 19:54:11,http://www.usa.com/Argo-AL.htm
133,Alabama,AL,Springville,completed,2022-03-10 19:54:17,http://www.usa.com/Springville-AL.htm
134,Alabama,AL,Priceville,completed,2022-03-10 19:54:22,http://www.usa.com/Priceville-AL.htm
135,Alabama,AL,Geneva,completed,2022-03-10 19:54:27,http://www.usa.com/Geneva-AL.htm
136,Alabama,AL,Adamsville,completed,2022-03-10 19:54:33,http://www.usa.com/Adamsville-AL.htm
137,Alabama,AL,Fayette,completed,2022-03-10 19:54:37,http://www.usa.com/Fayette-AL.htm
138,Alabama,AL,Hokes Bluff,completed,2022-03-10 19:54:43,http://www.usa.com/Hokes-Bluff-AL.htm
139,Alabama,AL,Woodstock,completed,2022-03-10 19:54:48,http://www.usa.com/Woodstock-AL.htm
140,Alabama,AL,Haleyville,completed,2022-03-10 19:54:53,http://www.usa.com/Haleyville-AL.htm
141,Alabama,AL,Alexandria,completed,2022-03-10 19:54:59,http://www.usa.com/Alexandria-AL.htm
142,Alabama,AL,Holt,completed,2022-03-10 19:55:04,http://www.usa.com/Holt-AL.htm
143,Alabama,AL,Hazel Green,completed,2022-03-10 19:55:09,http://www.usa.com/Hazel-Green-AL.htm
144,Alabama,AL,Grand Bay,completed,2022-03-10 19:55:14,http://www.usa.com/Grand-Bay-AL.htm
145,Alabama,AL,Odenville,completed,2022-03-10 19:55:19,http://www.usa.com/Odenville-AL.htm
146,Alabama,AL,Citronelle,completed,2022-03-10 19:55:24,http://www.usa.com/Citronelle-AL.htm
147,Alabama,AL,Thomasville,completed,2022-03-10 19:55:28,http://www.usa.com/Thomasville-AL.htm
148,Alabama,AL,Elba,completed,2022-03-10 19:55:33,http://www.usa.com/Elba-AL.htm
149,Alabama,AL,Centre,completed,2022-03-10 19:55:39,http://www.usa.com/Centre-AL.htm
150,Alabama,AL,Sumiton,completed,2022-03-10 19:55:44,http://www.usa.com/Sumiton-AL.htm
151,Alabama,AL,Kimberly,completed,2022-03-10 19:55:49,http://www.usa.com/Kimberly-AL.htm
152,Alabama,AL,Valley Grande,completed,2022-03-10 19:55:54,http://www.usa.com/Valley-Grande-AL.htm
153,Alabama,AL,Evergreen,completed,2022-03-10 19:55:59,http://www.usa.com/Evergreen-AL.htm
154,Alabama,AL,Emerald Mountain,completed,2022-03-10 19:56:05,http://www.usa.com/Emerald-Mountain-AL.htm
155,Alabama,AL,Hanceville,completed,2022-03-10 19:56:10,http://www.usa.com/Hanceville-AL.htm
156,Alabama,AL,Heflin,completed,2022-03-10 19:56:15,http://www.usa.com/Heflin-AL.htm
157,Alabama,AL,Ladonia,completed,2022-03-10 19:56:20,http://www.usa.com/Ladonia-AL.htm
158,Alabama,AL,Kinsey,completed,2022-03-10 19:56:25,http://www.usa.com/Kinsey-AL.htm
159,Alabama,AL,West End-Cobb Town,completed,2022-03-10 19:56:30,http://www.usa.com/West-End-Cobb-Town-AL.htm
160,Alabama,AL,Livingston,completed,2022-03-10 19:56:36,http://www.usa.com/Livingston-AL.htm
161,Alabama,AL,Moulton,completed,2022-03-10 19:56:40,http://www.usa.com/Moulton-AL.htm
162,Alabama,AL,Warrior,completed,2022-03-10 19:56:45,http://www.usa.com/Warrior-AL.htm
163,Alabama,AL,Underwood-Petersville,completed,2022-03-10 19:56:49,http://www.usa.com/Underwood-Petersville-AL.htm
164,Alabama,AL,Cottondale,completed,2022-03-10 19:56:55,http://www.usa.com/Cottondale-AL.htm
165,Alabama,AL,Marion,completed,2022-03-10 19:57:00,http://www.usa.com/Marion-AL.htm
166,Alabama,AL,Red Bay,completed,2022-03-10 19:57:05,http://www.usa.com/Red-Bay-AL.htm
167,Alabama,AL,Weaver,completed,2022-03-10 19:57:10,http://www.usa.com/Weaver-AL.htm
168,Alabama,AL,Dadeville,completed,2022-03-10 19:57:15,http://www.usa.com/Dadeville-AL.htm
169,Alabama,AL,Loxley,completed,2022-03-10 19:57:21,http://www.usa.com/Loxley-AL.htm
170,Alabama,AL,Choccolocco,completed,2022-03-10 19:57:26,http://www.usa.com/Choccolocco-AL.htm
171,Alabama,AL,New Hope,completed,2022-03-10 19:57:31,http://www.usa.com/New-Hope-AL.htm
172,Alabama,AL,La Fayette,error,2022-03-10 19:57:34,http://www.usa.com/La-Fayette-AL.htm
173,Alabama,AL,Clayton,completed,2022-03-10 19:57:39,http://www.usa.com/Clayton-AL.htm
174,Alabama,AL,Brighton,completed,2022-03-10 19:57:45,http://www.usa.com/Brighton-AL.htm
175,Alabama,AL,Luverne,completed,2022-03-10 19:57:50,http://www.usa.com/Luverne-AL.htm
176,Alabama,AL,Jemison,completed,2022-03-10 19:58:33,http://www.usa.com/Jemison-AL.htm
177,Alabama,AL,Point Clear,completed,2022-03-10 19:58:39,http://www.usa.com/Point-Clear-AL.htm
178,Alabama,AL,Moundville,completed,2022-03-10 19:58:46,http://www.usa.com/Moundville-AL.htm
179,Alabama,AL,Centreville,completed,2022-03-10 19:58:51,http://www.usa.com/Centreville-AL.htm
180,Alabama,AL,Eutaw,completed,2022-03-10 19:58:57,http://www.usa.com/Eutaw-AL.htm
